protGroups,mean,q
sp|Q15042|RB3GP_HUMAN,4.08254711354943,0.00282606665100636
sp|Q9Y2V7|COG6_HUMAN,3.99770997461596,0.00145535791623606
sp|O14879|IFIT3_HUMAN,3.45055077300776,0.000975918129328961
sp|P45880|VDAC2_HUMAN,3.24174617020162,0.000975918129328961
sp|P09914|IFIT1_HUMAN;sp|Q5T764|IFT1B_HUMAN;sp|Q13325|IFIT5_HUMAN,3.20684464411599,0.000975918129328961
sp|P09913|IFIT2_HUMAN,2.81340700463638,0.000975918129328961
sp|Q15758|AAAT_HUMAN,2.76921241690067,0.00336733805870373
sp|Q96SK2|TM209_HUMAN,2.7555133564412,0.00317982213950477
sp|Q01650|LAT1_HUMAN,2.55695937820852,0.00505496327035832
sp|P21796|VDAC1_HUMAN,2.53358823926724,0.000975918129328961
sp|P01857|IGHG1_HUMAN;sp|P01860|IGHG3_HUMAN;sp|P01859|IGHG2_HUMAN;sp|P01861|IGHG4_HUMAN,2.22842950700052,0.000975918129328961
sp|P0DPD6|ECE2_HUMAN,2.22420868565743,0.00145535791623606
sp|Q8NDN9|RCBT1_HUMAN,2.21308740640156,0.0018734984710284
sp|Q99626|CDX2_HUMAN,2.18359721852626,0.0183399936522873
sp|Q9HBM0|VEZA_HUMAN,2.18149860503963,0.000975918129328961
sp|P41212|ETV6_HUMAN,2.15140807772182,0.0020363788709547
sp|Q93052|LPP_HUMAN,1.96568009409861,0.00266662428203637
sp|P05091|ALDH2_HUMAN,1.84416351574806,0.00275065271837302
sp|P51801|CLCKB_HUMAN,1.82097499020943,0.00350996228693067
sp|P43490|NAMPT_HUMAN,1.77850574102823,0.00145535791623606
sp|Q63HN8|RN213_HUMAN;sp|P53992|SC24C_HUMAN,1.76728492010209,0.00220737791754261
sp|P02792|FRIL_HUMAN,1.74182666537238,0.00220737791754261
sp|Q9UFW8|CGBP1_HUMAN,1.61451477479053,0.00356376958857219
sp|P11166|GTR1_HUMAN,1.60842093552365,0.00549189495121863
sp|Q8N8E3|CE112_HUMAN;REV__sp|Q13427|PPIG_HUMAN,1.59703239742844,0.00127972160050427
sp|Q7L273|KCTD9_HUMAN,1.59390053477865,0.00142768461363061
sp|P49792|RBP2_HUMAN,1.5896404073691,0.00264955534386759
sp|Q9UHQ4|BAP29_HUMAN,1.56481710979399,0.00616512836359683
sp|O14524|NEMP1_HUMAN,1.54574784336857,0.00366345078723086
sp|O60684|IMA7_HUMAN,1.54374409131831,0.00168147162976472
sp|Q9NS69|TOM22_HUMAN,1.52481478748058,0.00148730025982112
sp|Q09028|RBBP4_HUMAN,1.52100569119282,0.00986790189132464
sp|P51572|BAP31_HUMAN,1.5209572230069,0.00754220199801599
sp|Q8TAA5|GRPE2_HUMAN,1.50258206437993,0.00220737791754261
sp|Q8NFH5|NUP35_HUMAN,1.50018935435674,0.0116384739421539
sp|O95299|NDUAA_HUMAN,1.47571345829107,0.00366546363762325
sp|P63165|SUMO1_HUMAN;sp|G2XKQ0|SUMO5_HUMAN,1.47442200424239,0.00220737791754261
sp|A6NKD9|CC85C_HUMAN,1.45423359204641,0.00348044277802202
sp|Q9NXX6|NSE4A_HUMAN;sp|Q8N140|EID3_HUMAN,1.45184359378658,0.00456585305367693
sp|Q6Y1H2|HACD2_HUMAN,1.43559915552942,0.00482872481271539
sp|Q14257|RCN2_HUMAN,1.41518233021618,0.000975918129328961
sp|Q96MG7|NSE3_HUMAN,1.3666546326352,0.00488620452717441
sp|Q9NVI7|ATD3A_HUMAN;sp|Q5T9A4|ATD3B_HUMAN;sp|Q5T2N8|ATD3C_HUMAN,1.36577161949857,0.0033442393139469
sp|Q8WV22|NSE1_HUMAN,1.351606305964,0.00640560895909321
sp|Q8N7W2|BEND7_HUMAN,1.34561508073327,0.00220737791754261
sp|P06737|PYGL_HUMAN,1.34256593615116,0.0150626793485981
sp|P38117|ETFB_HUMAN,1.31828407635625,0.00220737791754261
sp|Q14974|IMB1_HUMAN,1.31778166052617,0.00220737791754261
sp|P57740|NU107_HUMAN,1.31776721911721,0.00413149466975805
sp|P51648|AL3A2_HUMAN,1.31242530030889,0.00297054338895249
sp|P46060|RAGP1_HUMAN,1.30360676025146,0.00386784134484094
sp|O75410|TACC1_HUMAN;sp|O95359|TACC2_HUMAN,1.29730588779972,0.00148730025982112
sp|P30837|AL1B1_HUMAN,1.28405714522405,0.0020363788709547
sp|Q5VTJ3|KLD7A_HUMAN,1.28190826994073,0.00364522156571139
sp|Q96EM0|T3HPD_HUMAN,1.28114498046681,0.0020363788709547
sp|P43353|AL3B1_HUMAN,1.27145923560109,0.0129198370064176
sp|O75190|DNJB6_HUMAN;sp|Q8NHS0|DNJB8_HUMAN;sp|P25686|DNJB2_HUMAN,1.26561084199672,0.00933532297040657
sp|Q4KMQ2|ANO6_HUMAN,1.25501933130758,0.00145535791623606
sp|P41250|GARS_HUMAN,1.220965164741,0.00366546363762325
sp|Q9BVG9|PTSS2_HUMAN,1.21745877182639,0.00823399980426755
sp|O94923|GLCE_HUMAN,1.21070192732595,0.00350996228693067
sp|Q9UPN4|CP131_HUMAN,1.20647463670683,0.0020363788709547
sp|P05161|ISG15_HUMAN,1.20543322325304,0.00266662428203637
sp|P61106|RAB14_HUMAN,1.20015063090935,0.00617117335040423
sp|Q8N357|S35F6_HUMAN,1.186725173034,0.0134362538577297
sp|O43852|CALU_HUMAN,1.18247297224444,0.00366546363762325
sp|P68366|TBA4A_HUMAN,1.18116026883926,0.00317757030786409
sp|P62826|RAN_HUMAN,1.15771526330999,0.00366546363762325
sp|Q96N66|MBOA7_HUMAN,1.14468167043455,0.00435119469695955
sp|P14406|CX7A2_HUMAN,1.14420651086082,0.00148730025982112
sp|A6NKT7|RGPD3_HUMAN,1.14220710390145,0.00493379356021461
sp|Q96SB8|SMC6_HUMAN,1.11772899809196,0.00400138792162425
sp|Q9HC77|CENPJ_HUMAN,1.10769235041858,0.00384873372246678
sp|Q15293|RCN1_HUMAN,1.08868259304439,0.00275065271837302
sp|Q07812|BAX_HUMAN,1.08154069551346,0.00126581768993091
sp|P55060|XPO2_HUMAN,1.08126706778693,0.0056369657391851
sp|P60468|SC61B_HUMAN,1.07031521771895,0.00485000612407524
sp|P52948|NUP98_HUMAN,1.06977970699142,0.00936588608301207
sp|Q8IY18|SMC5_HUMAN,1.06690848190081,0.00338050494676072
sp|Q9BY49|PECR_HUMAN,1.0564431966598,0.00411508334006128
sp|O96008|TOM40_HUMAN,1.05382414289341,0.00148730025982112
sp|P49750|YLPM1_HUMAN,1.05116458807254,0.00220737791754261
sp|P63244|RACK1_HUMAN,1.04644166375711,0.00154828405995338
sp|P50454|SERPH_HUMAN,1.02607419852967,0.00295419050843538
sp|Q8N1F7|NUP93_HUMAN,1.02466594937721,0.0079788814675487
sp|Q1MSJ5|CSPP1_HUMAN,1.00553122741295,0.00338050494676072
sp|Q9UKK6|NXT1_HUMAN,1.00164870178357,0.0143538710973252
sp|P61923|COPZ1_HUMAN,1.00017876972864,0.00400135535049718
sp|Q14011|CIRBP_HUMAN,-1.00551745883296,0.0046818292365061
sp|Q6UX73|CP089_HUMAN,-1.00659019757128,0.0138405776217472
sp|P0DN76|U2AF5_HUMAN;sp|Q01081|U2AF1_HUMAN;sp|Q8WU68|U2AF4_HUMAN,-1.00898082384955,0.00545950313874752
sp|Q5BKY9|F133B_HUMAN;sp|Q8N9E0|F133A_HUMAN,-1.01137843840786,0.00452457240234915
sp|Q8NC51|PAIRB_HUMAN,-1.01435612075848,0.00338050494676072
sp|Q9Y383|LC7L2_HUMAN,-1.03762509259048,0.0018734984710284
sp|P46783|RS10_HUMAN;sp|Q9NQ39|RS10L_HUMAN,-1.04577385447287,0.00843734236996091
sp|Q9Y2K5|R3HD2_HUMAN,-1.04765163754333,0.00220737791754261
sp|Q8WWI1|LMO7_HUMAN,-1.07749202827074,0.0055218562292787
sp|Q9UKV3|ACINU_HUMAN,-1.08561742096236,0.012560573858195
sp|P02751|FINC_HUMAN,-1.09953461632203,0.00275065271837302
sp|P26368|U2AF2_HUMAN,-1.12446757374319,0.00366546363762325
sp|P49756|RBM25_HUMAN,-1.13298149766378,0.00275065271837302
sp|Q71UI9|H2AV_HUMAN;sp|P0C0S5|H2AZ_HUMAN,-1.1356825257988,0.0167096379597968
sp|Q9UHX1|PUF60_HUMAN,-1.1358815475144,0.0020363788709547
sp|Q8N5F7|NKAP_HUMAN,-1.14001199862988,0.00127972160050427
sp|P39019|RS19_HUMAN,-1.14852194285595,0.00382704179870437
sp|Q8WXA9|SREK1_HUMAN,-1.14905971986188,0.00283732158579024
sp|P09012|SNRPA_HUMAN;sp|P08579|RU2B_HUMAN,-1.15210835843835,0.00151627859091803
sp|P22061|PIMT_HUMAN,-1.15938217123958,0.0020363788709547
sp|Q12874|SF3A3_HUMAN,-1.16873537519256,0.00380075721785784
sp|P62269|RS18_HUMAN,-1.18001711873697,0.00493379356021461
