protGroups,mean,q
sp|O14879|IFIT3_HUMAN,3.35254788251961,0.0058354374975006
sp|Q9Y2V7|COG6_HUMAN,3.08304342451536,0.117845861328416
sp|P09913|IFIT2_HUMAN,2.31835991785313,0.0356429055138442
sp|P05091|ALDH2_HUMAN,2.28209875928624,0.0479268176736744
sp|P09914|IFIT1_HUMAN;sp|Q5T764|IFT1B_HUMAN;sp|Q13325|IFIT5_HUMAN,2.01533161543714,0.00922493200230995
sp|Q6P179|ERAP2_HUMAN,1.8113746616248,0.117845861328416
sp|P0DPD6|ECE2_HUMAN,1.77075442189231,0.0389438397740204
sp|P45880|VDAC2_HUMAN,1.63808351100763,0.023877102522927
sp|P11166|GTR1_HUMAN,1.5121440845496,0.023877102522927
sp|Q15427|SF3B4_HUMAN,1.44393362150374,0.0721477465347167
sp|O43172|PRP4_HUMAN,1.34601395620928,0.0356429055138442
sp|P21796|VDAC1_HUMAN,1.26106759175405,0.023877102522927
sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN,1.11955841047873,0.126400888282471
sp|Q9Y3B7|RM11_HUMAN,1.11246962204887,0.0998547667821964
sp|P50914|RL14_HUMAN,1.10774816601711,0.126400888282471
sp|P07942|LAMB1_HUMAN,-1.08981059841041,0.0529925208877451
sp|P13987|CD59_HUMAN,-1.14194754610531,0.023877102522927
sp|O14950|ML12B_HUMAN;sp|P24844|MYL9_HUMAN,-1.19138628856833,0.108458056023228
sp|Q92736|RYR2_HUMAN,-1.23494741791308,0.0637098874587254
sp|Q8IVU3|HERC6_HUMAN,-1.28991022154844,0.061422375142234
sp|Q02818|NUCB1_HUMAN,-1.38960570865292,0.0679817108652689
