Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A3EZ79;sp|Q6E0U4|DMKN_HUMAN;CON__A3EZ82	CON__A3EZ79;sp|Q6E0U4|DMKN_HUMAN;CON__A3EZ82	1;1;1	1;1;1	1;1;1	;sp|Q6E0U4|DMKN_HUMAN Dermokine OS=Homo sapiens OX=9606 GN=DMKN PE=1 SV=3;	3	1	1	1	2	2	2	45.048	449	449;476;476	0.0080972	5.9756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			+	0	1495	True	1547	2568	3374	3374		
CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	1;1	1;1	1;1	;	2	1	1	1	0.6	0.6	0.6	192.79	1741	1741;1742	0.0008881	6.6933	53201	50919	54980	53219	49416	40295	36966	76436	42208	49893	59316	39226	48844	43329	45997	49057	47646	55463	54018	51192	42216	37912	75235	43438	51602	59367	40490	49969	41330	44077	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	35414000	4			+	1	4628	True	4785	7555;7556;7557	10097;10098;10099;10100	10100		
sp|P01023|A2MG_HUMAN;CON__ENSEMBL:ENSBTAP00000024146;sp|P20742|PZP_HUMAN	sp|P01023|A2MG_HUMAN;CON__ENSEMBL:ENSBTAP00000024146;sp|P20742|PZP_HUMAN	1;1;1	1;1;1	1;1;1	sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3;;sp|P20742|PZP_HUMAN Pregnancy zone protein OS=Homo sapiens OX=9606 GN=PZP PE=1 SV=4	3	1	1	1	0.6	0.6	0.6	163.29	1474	1474;1477;1482	0.0034188	6.2593	9221.5	10465	8327.2	12272	7759	2894.9	4004.4	10303	7322.6	10406	10013	8642.5	6405	9008.6	2972.2	8494.8	9771.4	8495.4	12211	7977.8	3678.1	4312.4	10150	7372.4	10543	9955.7	8874.5	6483.1	8601.3	2904.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13743000	1			+	2	858	True	883	1374	1813	1813		
CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024462	5	5	5		1	5	5	5	13.4	13.4	13.4	46.543	419	419	0	32.066	209350	202960	186370	292250	148600	155480	217670	341700	202650	242700	231690	197830	255980	167530	158260	192830	190850	190390	289470	158040	169290	214090	335840	209640	249650	235360	201650	255520	160600	153130	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	693090000	8			+	3	2018;6363;7452;8002;8784	True;True;True;True;True	2095;6626;7753;8327;9138	3413;3414;10524;12208;13136;14382	4465;4466;4467;13971;16069;17197;17198;18915	4466;13971;16069;17197;18915		
CON__ENSEMBL:ENSBTAP00000034412	CON__ENSEMBL:ENSBTAP00000034412	2	2	2		1	2	2	2	12.1	12.1	12.1	22.336	199	199	0	11.086	27098	14700	14401	24740	14146	3998.5	2861.7	31702	10030	12507	24208	10056	20152	26369	4000.6	24893	13817	15607	24116	14417	5985.7	3691.4	30247	10364	13581	23870	11053	19912	24913	4105.2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	25894000	2			+	4	5161;8125	True;True	5337;8451	8418;13310	11211;17434	11211;17434		
CON__ENSEMBL:ENSBTAP00000038329	CON__ENSEMBL:ENSBTAP00000038329	1	1	1		1	1	1	1	15	15	15	8.5787	80	80	0.00097656	7.553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			+	5	4940	True	5108	8027	10683	10683		
sp|P13646|K1C13_HUMAN;CON__ENSEMBL:ENSP00000377550;CON__P13646-1;CON__Q2M2I5;sp|Q2M2I5|K1C24_HUMAN;CON__Q14525;sp|Q14525|KT33B_HUMAN;sp|Q6A162|K1C40_HUMAN;sp|O76011|KRT34_HUMAN;CON__Q8IUT8;CON__O76011;CON__Q6IFU5;CON__Q6NTB9;CON__Q9C075;CON__O76009;sp|O76009|KT33A_HUMAN;sp|Q9C075|K1C23_HUMAN	sp|P13646|K1C13_HUMAN;CON__ENSEMBL:ENSP00000377550;CON__P13646-1	10;10;9;4;4;2;2;1;1;1;1;1;1;1;1;1;1	2;2;2;0;0;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	sp|P13646|K1C13_HUMAN Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4;;	17	10	2	1	14.6	3.7	2.2	49.588	458	458;420;458;525;525;404;404;431;436;436;394;431;404;422;404;404;422	0	11.901	22544	184620	20389	20886	23097	12747	7283.6	51414	22614	44395	117730	8332.8	16242	28083	9343.3	20768	169750	20841	33204	23307	14694	8625.8	50203	24497	44088	112560	9256.2	19463	26500	9089	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	46074000	2			+	6	466;3614;4143;4314;4404;4525;5618;6356;6357;7914	False;True;False;False;True;False;False;False;False;False	477;3731;4283;4284;4459;4550;4678;5840;5841;6619;6620;8233	721;722;5942;6816;6817;7058;7059;7060;7193;7389;9198;9199;10516;10517;10518;12974	922;923;7827;9093;9094;9424;9425;9426;9427;9591;9853;12199;12200;13962;13963;13964;13965;17005	923;7827;9094;9425;9591;9853;12200;13962;13965;17005	0	247
sp|O43790|KRT86_HUMAN;CON__O43790;sp|Q14533|KRT81_HUMAN;CON__Q14533;sp|P78385|KRT83_HUMAN;CON__Q6NT21;CON__P78385;sp|A6NCN2|KR87P_HUMAN;sp|P78386|KRT85_HUMAN;CON__P78386;CON__Q61726;sp|Q9NSB4|KRT82_HUMAN;CON__Q9NSB4	sp|O43790|KRT86_HUMAN;CON__O43790;sp|Q14533|KRT81_HUMAN;CON__Q14533;sp|P78385|KRT83_HUMAN;CON__Q6NT21;CON__P78385;sp|A6NCN2|KR87P_HUMAN;sp|P78386|KRT85_HUMAN;CON__P78386;CON__Q61726	10;10;10;10;9;9;9;6;6;6;5;2;2	9;9;9;9;8;8;8;6;5;5;4;2;2	8;8;8;8;7;7;7;6;4;4;4;1;1	sp|O43790|KRT86_HUMAN Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1;;sp|Q14533|KRT81_HUMAN Keratin, type II cuticular Hb1 OS=Homo sapiens OX=9606 GN=KRT81 PE=1 SV=3;;sp|P78385|KRT83_HUMAN Keratin, type II cuticular Hb3 OS=Homo s	13	10	9	8	20.8	19.3	17.1	53.5	486	486;486;505;505;493;493;493;255;507;507;479;513;513	0	59.391	280130	366130	262790	360460	301630	42147	25798	431370	209180	249870	359770	249820	281210	192260	51885	258130	340630	267640	362110	302490	65713	45951	413910	209040	262140	356650	252050	278400	184690	53586	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	920360000	14			+	7	172;714;2259;2384;4342;4468;4611;4788;5168;7743	True;True;True;False;True;True;True;True;True;True	175;736;2341;2468;4487;4620;4768;4953;5344;8054	272;1151;3781;3782;3982;3983;7103;7104;7302;7303;7534;7816;8429;12703	343;1501;1502;4900;4901;5164;5165;5166;9481;9482;9483;9733;9734;10070;10432;11225;16664	343;1501;4900;5164;9481;9733;10070;10432;11225;16664		
CON__P00761;sp|Q9BYE2|TMPSD_HUMAN	CON__P00761	6;1	6;1	5;0		2	6	6	5	34.6	34.6	31.2	24.409	231	231;586	0	150.13	2646400	2868900	2617800	2384900	2446000	1399000	1449400	2390800	2218300	2594600	2518500	2090000	2061900	2601700	1628200	2439500	2671000	2650500	2453600	2517800	1494100	1529000	2399100	2235500	2622600	2536500	2167100	2095600	2477100	1566000	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	72117000000	116			+	8	3526;4590;5151;5674;7265;8155	True;True;True;True;True;True	3642;3643;4747;5327;5901;7564;8481	5807;5808;5809;5810;5811;5812;5813;5814;5815;5816;5817;5818;5819;7486;7487;7488;7489;7490;7491;7492;7493;7494;7495;8390;8391;8392;8393;8394;8395;8396;8397;8398;8399;8400;9321;9322;11922;13360;13361;13362;13363;13364;13365;13366;13367;13368;13369;13370;13371;13372;13373;13374;13375	7644;7645;7646;7647;7648;7649;7650;7651;7652;7653;7654;7655;7656;7657;7658;7659;7660;7661;7662;7663;7664;7665;7666;7667;7668;7669;7670;7671;9993;9994;9995;9996;9997;9998;9999;10000;10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013;10014;10015;10016;10017;10018;10019;10020;10021;10022;10023;10024;11176;11177;11178;11179;11180;11181;11182;11183;11184;11185;11186;11187;11188;11189;11190;11191;11192;11193;12400;12401;15730;17522;17523;17524;17525;17526;17527;17528;17529;17530;17531;17532;17533;17534;17535;17536;17537;17538;17539;17540;17541;17542;17543;17544;17545;17546;17547;17548;17549;17550;17551;17552;17553;17554;17555;17556	7670;9995;11186;12400;15730;17548	1	94
CON__P01966	CON__P01966	2	2	2		1	2	2	2	15.5	15.5	15.5	15.184	142	142	0	14.648	28654	29564	23802	34700	27435	9116.6	5163.8	42572	16544	27189	29377	19248	21939	22801	8537	26382	27612	24519	34558	27576	11593	6709.3	41191	16720	28056	29089	20023	21969	21726	8401.3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	105210000	3			+	9	8277;8483	True;True	8609;8824	13562;13563;13908	17815;17816;18306	17816;18306		
